Unnamed: 0.1,recruitment_title,url,career,education,due_date,company_name,jobs,skills,created_at,updated_at,company_id,company_size,company_introduction,company_sales,company_url,company_img_url,company_addr
0,ICT 인프라 (DELL Storage) 엔지니어 경력,https://www.jobkorea.co.kr//Recruit/GI_Read/44604296,경력 (3년이상),초대졸이상,06/02(일),시앤지원,시스템엔지니어,명시되어있지않음,2024-05-10 11:29:05.421244+09,2024-05-10 11:29:05.421245+09,5.0,중소기업,,250억,http://www.cngone.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2019/7/2858i009Dc_sG8b8v2n3929c0fiFsOw_4a4vic.png?v=202405031650&hash=r&serviceCode=CL,"서울강남구선릉로513(역삼동,APEXTOWER)901호"
1,MongoDB 엔지니어/DBA 모집,https://www.jobkorea.co.kr//Recruit/GI_Read/44461718,경력 (3년이상),초대졸이상(졸업예정자가능),05/15(수),시앤지원,"데이터엔지니어,DBA","mongodb,nosql",2024-05-10 11:29:05.421244+09,2024-05-10 11:29:05.421245+09,5.0,중소기업,,250억,http://www.cngone.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2019/7/2858i009Dc_sG8b8v2n3929c0fiFsOw_4a4vic.png?v=202405031650&hash=r&serviceCode=CL,"서울강남구선릉로513(역삼동,APEXTOWER)901호"
2,"IT 분야 기술, 엔지니어 채용 (H/W 설치, 교육, 유지 보수)",https://www.jobkorea.co.kr//Recruit/GI_Read/44416148,경력무관,학력무관,05/08(수),매일정보기술,"하드웨어개발자,소프트웨어개발자",명시되어있지않음,2024-05-10 11:29:05.421934+09,2024-05-10 11:29:05.421935+09,47.0,중소기업,,68억8천만원(2023.12.31),명시되어있지않음,명시되어있지않음,"서울금천구디지털로121(가산동,에이스가산타워)1403호"
3,클라우드 인프라 엔지니어 신입/경력사원 채용공고,https://www.jobkorea.co.kr//Recruit/GI_Read/44433525,경력무관,초대졸이상(졸업예정자가능),06/10(월),호스트센터,시스템엔지니어,"window,linux",2024-05-10 11:29:05.423041+09,2024-05-10 11:29:05.423043+09,104.0,중소기업,,120억,http://www.hostcenter.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2006/10/2u3da008Rw_kXdvkfs3c2sw0eaYcUs_ix2aw.gif?v=202405031653&hash=r&serviceCode=CL,서울서초구법원로1길6(서초동)1층
4,[정규직] 임베디드 IoT S/W개발자 채용,https://www.jobkorea.co.kr//Recruit/GI_Read/44624185,경력,대졸이상,07/06(토),플루토솔루션,"앱개발자,시스템엔지니어","c,c++,window,linux",2024-05-10 11:29:05.424378+09,2024-05-10 11:29:05.42438+09,185.0,중소기업,,90억,http://www.plutosolution.com,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2017/10/2x3xe008Rh_kXclhzs3f2gh0eeYbUw_wg2eh.png?v=202405031656&hash=r&serviceCode=CL,경기안양시동안구관양동금강펜테리움IT타워B동1122호
5,각 부문별 신입 및 경력 채용,https://www.jobkorea.co.kr//Recruit/GI_Read/44557458,신입·경력,학력무관,05/26(일),윈텍㈜,소프트웨어개발자,inventor,2024-05-10 11:29:05.426275+09,2024-05-10 11:29:05.426276+09,302.0,중소기업,,199억,HTTP://WWW.WINTEC.CO.KR,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2008/2/2c34t008Rr_kXsm8ds3u29r0etYiUd_3a2tr.gif?v=202405031711&hash=r&serviceCode=CL,"경기군포시고산로166(당정동,SK벤티움)104동1001호"
6,가전제품 기능&앱 테스트(창원2),https://www.jobkorea.co.kr//Recruit/GI_Read/44544021,신입,고졸이상(졸업예정자가능),05/26(일),에이아이솔루션,QA,명시되어있지않음,2024-05-10 11:29:05.426889+09,2024-05-10 11:29:05.426891+09,341.0,중소기업,,100억,http://www.koamtac.com,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2011/12/2v7kn00aRi_gKepixjlf3a2ci0gnYxIs_vagk2ni.jpg?v=202405031712&hash=r&serviceCode=CL,서울강북구미아동691-4
7,가전제품 기능 & 앱 테스트(창원),https://www.jobkorea.co.kr//Recruit/GI_Read/44543935,신입,초대졸이상(졸업예정자가능),05/26(일),에이아이솔루션,QA,명시되어있지않음,2024-05-10 11:29:05.426889+09,2024-05-10 11:29:05.426891+09,341.0,중소기업,,100억,http://www.koamtac.com,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2011/12/2v7kn00aRi_gKepixjlf3a2ci0gnYxIs_vagk2ni.jpg?v=202405031712&hash=r&serviceCode=CL,서울강북구미아동691-4
8,SW 개발자 모집 - 2D/3D Vision SW 및 AI SW 개발 프로그래머,https://www.jobkorea.co.kr//Recruit/GI_Read/44513085,경력무관,대졸이상(졸업예정자가능),06/21(금),가치소프트,"DBA,앱개발자","c#,c++,mfc,mssql,mysql,oracle,python,sql",2024-05-10 11:29:05.427254+09,2024-05-10 11:29:05.427256+09,364.0,중소기업,,100억,http://www.gachisoft.com,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2017/7/2x5rb009Dw_vGfpko2i3g2vw0fbFuOa_xnsmbw.png?v=202405031713&hash=r&serviceCode=CL,세종집현중앙4로50(집현동)(주)가치소프트사옥
9,[을지로] 고객사상주 OA기기 유지관리 & IT헬프데스크 채용(정규직),https://www.jobkorea.co.kr//Recruit/GI_Read/44433269,경력무관,학력무관,06/10(월),㈜크레온유니티,네트워크엔지니어,명시되어있지않음,2024-05-10 11:29:05.429786+09,2024-05-10 11:29:05.429787+09,522.0,중소기업,,620억7천만원(2023.12.31),http://www.icreon.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2020/4/2958u009Dq_xG4o8a2j3027q0fuFcOd_5l0guq.GIF?v=202405031717&hash=r&serviceCode=CL,"경기고양시일산동구중앙로1275번길60-31(장항동,에메랄드빌딩)5층"
