,recruitment_title,url,career,education,due_date,company_name,jobs,skills
0,"각 분야 훈련교사 모집(디자인, 정보기술개발 등)",https://www.jobkorea.co.kr//Recruit/GI_Read/44449987,경력 (5년이상),초대졸이상,상시채용,(사)한국디지털컨버전스협회 부설 방송정보국제교육원,웹개발자,"angular,api,aws,css3,html5,cinema4d,illustrator,photoshop,애프터이펙트,프리미어"
1,"각 분야 직업훈련 강사 구인 - 영상, 3D그래픽, 웹, 유니티, 언리얼 등",https://www.jobkorea.co.kr//Recruit/GI_Read/44449998,경력 (5년이상),초대졸이상,상시채용,(사)한국디지털컨버전스협회 부설 방송정보국제교육원,웹개발자,"unity,unreal,풀스택,cinema4d,maya,애프터이펙트,메타버스,프론트앤드,멀티미디어,백앤드"
2,기술연구소 H/W 개발 부문 . R&D 기획 과제 부문  경력사원 모집,https://www.jobkorea.co.kr//Recruit/GI_Read/44590645,경력 (5년이상),대졸이상,05/19(일),(유)동방이노베이션,"소프트웨어개발자,시스템엔지니어,하드웨어개발자",명시되어있지않음
3,PC 유지보수 인원(전북 익산 근무 ),https://www.jobkorea.co.kr//Recruit/GI_Read/44567348,신입·경력 (1년이상),고졸이상,05/29(수),(유)세종정보통신,네트워크엔지니어,명시되어있지않음
4,[외국계/게임사]게임 개발자 모집(Developer),https://www.jobkorea.co.kr//Recruit/GI_Read/44193233,경력 (3년이상),학력무관,상시채용,(유)앤서스랩코리아,"소프트웨어개발자,게임개발자,DBA",".net,api,c#,css3,html5,java,javascript,mysql,python,sql"
5,[외국계/게임사]게임 QA 모집,https://www.jobkorea.co.kr//Recruit/GI_Read/44193686,경력 (3년이상),학력무관,상시채용,(유)앤서스랩코리아,QA,명시되어있지않음
6,[외국계기업] 각 부문 경력직 채용(소프트웨어/해외공사 PM/안전관리자 및 품질관리 ),https://www.jobkorea.co.kr//Recruit/GI_Read/44559519,신입·경력 (2년이상) [각분야상이],대졸이상,05/13(월),(유)포리코리아,소프트웨어개발자,"visualstudio,plc"
7,자바 개발자(프리랜서) 모집(서울송파),https://www.jobkorea.co.kr//Recruit/GI_Read/44470729,경력 (2년이상),초대졸이상,상시채용,(재)국가관세종합정보망운영연합회,웹개발자,"angular,html,html5,java,jsp,oracle,postgresql,springboot,sql,springframework"
8,[대전] 탄자니아 전자통관 고도화 사업  개발자 모집,https://www.jobkorea.co.kr//Recruit/GI_Read/44489969,경력 (5년이상),학력무관,05/18(토),(재)국가관세종합정보망운영연합회,"웹개발자,앱개발자",명시되어있지않음
9,[대전] 탄자니아 국세 시스템 구축 사업 개발자 모집,https://www.jobkorea.co.kr//Recruit/GI_Read/44532853,경력 (5년이상),학력무관,05/23(목),(재)국가관세종합정보망운영연합회,소프트웨어개발자,명시되어있지않음
10,자바 JAVA 풀스택 프로그래밍 직업훈련교사(강사) 모십니다.,https://www.jobkorea.co.kr//Recruit/GI_Read/44601187,경력 (1년이상),학력무관,07/02(화),(재)부산인재개발원,"웹퍼블리셔,앱개발자","html5,java,sql"
11,(재)씨젠의료재단 씨차트개발팀 전문인력채용,https://www.jobkorea.co.kr//Recruit/GI_Read/44582828,경력 (2년이상),초대졸이상,05/19(일),(재)씨젠의료재단,DBA,"ocs/emr개발및유지보수,db-ddl,dml,devexpress개발"
12,JAVA개발 운영 경력자를 모십니다.,https://www.jobkorea.co.kr//Recruit/GI_Read/44411767,경력 (3년이상),초대졸이상,05/08(수),(주) 어반엘티,"프론트엔드개발자,백엔드개발자,시스템엔지니어","ajax,api,css3,html5,java,javascript,postgresql,spring,sql"
13,SW / HW 품질검증원 채용,https://www.jobkorea.co.kr//Recruit/GI_Read/44309301,신입·경력,초대졸이상(졸업예정자가능),05/25(토),(주) 화인폰,QA,명시되어있지않음
14,ThinQ 플랫폼/서비스 서버 SW 품질 검증원 채용,https://www.jobkorea.co.kr//Recruit/GI_Read/44537368,신입·경력,초대졸이상(졸업예정자가능),05/24(금),(주) 화인폰,QA,명시되어있지않음
15,상시인재 Pool 등록(신입),https://www.jobkorea.co.kr//Recruit/GI_Read/44480764,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
16,상시인재 Pool 등록(신입) - Beauty브랜드마케팅,https://www.jobkorea.co.kr//Recruit/GI_Read/44480773,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
17,상시인재 Pool 등록(신입)-HDB브랜드마케팅,https://www.jobkorea.co.kr//Recruit/GI_Read/44480786,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
18,상시인재 Pool 등록(신입)-디지털커머스,https://www.jobkorea.co.kr//Recruit/GI_Read/44480793,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
19,상시인재 Pool 등록(신입)-영업관리,https://www.jobkorea.co.kr//Recruit/GI_Read/44480807,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
20,상시인재 Pool 등록(신입)-기초 화장품 개발연구,https://www.jobkorea.co.kr//Recruit/GI_Read/44480821,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
21,상시인재 Pool 등록(신입)-미래기반연구,https://www.jobkorea.co.kr//Recruit/GI_Read/44480830,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
22,상시인재 Pool 등록(신입)-색조 화장품 개발연구/색채연구,https://www.jobkorea.co.kr//Recruit/GI_Read/44480872,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
23,상시인재 Pool 등록(신입)-생활용품 개발연구,https://www.jobkorea.co.kr//Recruit/GI_Read/44480888,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
24,상시인재 Pool 등록(신입)-소비자연구,https://www.jobkorea.co.kr//Recruit/GI_Read/44480904,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
25,상시인재 Pool 등록(신입)-음료/건강기능식품 개발연구,https://www.jobkorea.co.kr//Recruit/GI_Read/44480921,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
26,상시인재 Pool 등록(신입)-향 연구,https://www.jobkorea.co.kr//Recruit/GI_Read/44480932,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
27,상시인재 Pool 등록(신입)-효능 개발연구,https://www.jobkorea.co.kr//Recruit/GI_Read/44480943,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
28,상시인재 Pool 등록(신입)-소재 합성 연구,https://www.jobkorea.co.kr//Recruit/GI_Read/44480957,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
29,상시인재 Pool 등록(신입)-안전성/분석 연구,https://www.jobkorea.co.kr//Recruit/GI_Read/44480967,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
30,상시인재 Pool 등록(신입)-포장연구,https://www.jobkorea.co.kr//Recruit/GI_Read/44480979,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
31,상시인재 Pool 등록(신입)-Graphic Design,https://www.jobkorea.co.kr//Recruit/GI_Read/44480990,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
32,상시인재 Pool 등록(신입)-Interior Design,https://www.jobkorea.co.kr//Recruit/GI_Read/44480997,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
33,상시인재 Pool 등록(신입)-Product Design,https://www.jobkorea.co.kr//Recruit/GI_Read/44481003,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
34,상시인재 Pool 등록(신입)-VMD,https://www.jobkorea.co.kr//Recruit/GI_Read/44481011,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
35,상시인재 Pool 등록(신입)-재경,https://www.jobkorea.co.kr//Recruit/GI_Read/44481022,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
36,상시인재 Pool 등록(신입)-HRD,https://www.jobkorea.co.kr//Recruit/GI_Read/44481032,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
37,상시인재 Pool 등록(신입)-HRM,https://www.jobkorea.co.kr//Recruit/GI_Read/44481043,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
38,상시인재 Pool 등록(신입)-노경,https://www.jobkorea.co.kr//Recruit/GI_Read/44481052,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
39,상시인재 Pool 등록(신입)-환경안전,https://www.jobkorea.co.kr//Recruit/GI_Read/44481066,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
40,상시인재 Pool 등록(신입)-PI(Process Innovation),https://www.jobkorea.co.kr//Recruit/GI_Read/44481076,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
41,상시인재 Pool 등록(신입)-데이터분석,https://www.jobkorea.co.kr//Recruit/GI_Read/44481086,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
42,상시인재 Pool 등록(신입)-SCM,https://www.jobkorea.co.kr//Recruit/GI_Read/44481098,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
43,상시인재 Pool 등록(신입)-개발구매,https://www.jobkorea.co.kr//Recruit/GI_Read/44481104,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
44,상시인재 채용(신입)-전략,https://www.jobkorea.co.kr//Recruit/GI_Read/44481109,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
45,상시인재 Pool 등록(신입)-생산관리,https://www.jobkorea.co.kr//Recruit/GI_Read/44481123,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
46,상시인재 Pool 등록(신입)-설비관리,https://www.jobkorea.co.kr//Recruit/GI_Read/44481129,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
47,상시인재 Pool 등록(신입)-품질보증(QA),https://www.jobkorea.co.kr//Recruit/GI_Read/44481156,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
48,상시인재 Pool 등록(신입)-설비구매,https://www.jobkorea.co.kr//Recruit/GI_Read/44481165,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
49,상시인재 Pool 등록(신입)-물류,https://www.jobkorea.co.kr//Recruit/GI_Read/44481171,신입,명시되어있지않음,상시채용,(주)LG생활건강,데이터사이언티스트,명시되어있지않음
50,상시인재 Pool 등록(경력),https://www.jobkorea.co.kr//Recruit/GI_Read/44489610,경력,명시되어있지않음,상시채용,(주)LG생활건강,"시스템엔지니어,네트워크엔지니어",명시되어있지않음
51,상시인재 Pool 등록(경력)-HDB브랜드마케팅(생활용품),https://www.jobkorea.co.kr//Recruit/GI_Read/44489632,경력,명시되어있지않음,상시채용,(주)LG생활건강,"시스템엔지니어,네트워크엔지니어",명시되어있지않음
52,상시인재 Pool 등록(경력)-건기식 브랜드마케팅,https://www.jobkorea.co.kr//Recruit/GI_Read/44489648,경력,명시되어있지않음,상시채용,(주)LG생활건강,"시스템엔지니어,네트워크엔지니어",명시되어있지않음
53,상시인재 Pool 등록(경력)-기초 화장품 브랜드마케팅,https://www.jobkorea.co.kr//Recruit/GI_Read/44489659,경력,명시되어있지않음,상시채용,(주)LG생활건강,"시스템엔지니어,네트워크엔지니어",명시되어있지않음
54,상시인재 Pool 등록(경력)-색조 화장품 브랜드마케팅,https://www.jobkorea.co.kr//Recruit/GI_Read/44489674,경력,명시되어있지않음,상시채용,(주)LG생활건강,"시스템엔지니어,네트워크엔지니어",명시되어있지않음
55,상시인재 Pool 등록(경력)-디지털커머스,https://www.jobkorea.co.kr//Recruit/GI_Read/44489685,경력,명시되어있지않음,상시채용,(주)LG생활건강,"시스템엔지니어,네트워크엔지니어",명시되어있지않음
56,상시인재 Pool 등록(경력)-영업관리,https://www.jobkorea.co.kr//Recruit/GI_Read/44489693,경력,명시되어있지않음,상시채용,(주)LG생활건강,"시스템엔지니어,네트워크엔지니어",명시되어있지않음
57,상시인재 Pool 등록(경력)-Data Engineer,https://www.jobkorea.co.kr//Recruit/GI_Read/44489702,경력,명시되어있지않음,상시채용,(주)LG생활건강,"시스템엔지니어,네트워크엔지니어",명시되어있지않음
58,상시인재 Pool 등록(경력)-Data driven marketing,https://www.jobkorea.co.kr//Recruit/GI_Read/44489712,경력,명시되어있지않음,상시채용,(주)LG생활건강,"시스템엔지니어,네트워크엔지니어",명시되어있지않음
59,상시인재 Pool 등록(경력)-디지털 컨텐츠 기획,https://www.jobkorea.co.kr//Recruit/GI_Read/44489721,경력,명시되어있지않음,상시채용,(주)LG생활건강,"시스템엔지니어,네트워크엔지니어",명시되어있지않음
60,상시인재 Pool 등록(경력)-디지털마케팅,https://www.jobkorea.co.kr//Recruit/GI_Read/44489728,경력,명시되어있지않음,상시채용,(주)LG생활건강,"시스템엔지니어,네트워크엔지니어",명시되어있지않음
61,상시인재 Pool 등록(경력)-클라우드 네트워크 담당,https://www.jobkorea.co.kr//Recruit/GI_Read/44489739,경력,명시되어있지않음,상시채용,(주)LG생활건강,"시스템엔지니어,네트워크엔지니어",명시되어있지않음
62,상시인재 Pool 등록(경력)-기초 화장품 개발연구,https://www.jobkorea.co.kr//Recruit/GI_Read/44489797,경력,명시되어있지않음,상시채용,(주)LG생활건강,"시스템엔지니어,네트워크엔지니어",명시되어있지않음
63,상시인재 Pool 등록(경력)-미래기반연구,https://www.jobkorea.co.kr//Recruit/GI_Read/44489813,경력,명시되어있지않음,상시채용,(주)LG생활건강,"시스템엔지니어,네트워크엔지니어",명시되어있지않음
64,상시인재 Pool 등록(경력)-색조 화장품 개발연구/색채연구,https://www.jobkorea.co.kr//Recruit/GI_Read/44489823,경력,명시되어있지않음,상시채용,(주)LG생활건강,"시스템엔지니어,네트워크엔지니어",명시되어있지않음
65,상시인재 Pool 등록(경력)-생활용품 개발연구,https://www.jobkorea.co.kr//Recruit/GI_Read/44489833,경력,명시되어있지않음,상시채용,(주)LG생활건강,"시스템엔지니어,네트워크엔지니어",명시되어있지않음
