,skill_name
1,bitbucket
2,ubuntu
3,mdd
4,db연동
5,ncloud
6,uipath
7,nexus
8,python3
9,앱개발
10,sonarqube
11,소방설비기사자격
12,반도체
13,vbscript
14,pi
15,시험설계
16,puppeteer
17,azure
18,pandas
19,m365
20,오픈코드
21,wireshark
22,가상화서버운영
23,opic
24,aos
25,eai
26,euresys
27,ros
28,oidc
29,r
30,end-point보안
31,객체탐지알고리즘
32,awsec2
33,pm
34,outlook
35,랜섬웨어
36,oracleerp
37,클라우드설정
38,금융
39,springdatajpa
40,react-query
41,lookerstudio
42,jqeury
43,linuxshell
44,ecmascript
45,sti
46,restapi
47,nsx
48,visualstudio2019-2022
49,itq정보기술자격
50,mcu
51,영상편집
52,it개발.테이터
53,ribs
54,웹퍼블리셔ui/ux
55,systemverilog
56,iis
57,엔테리어
58,ibmpowerserver
59,시스템기획
60,vuetify
61,it인프라
62,micom
63,ctr
64,vue3.0
65,nginx
66,bloc
67,gitlab
68,googleanalytics
69,janus
70,네트워크(l2
71,gitaction
72,springboot
73,antivirus
74,c#또는java
75,넥사크로
76,nutanix
77,mes
78,paas
79,view.js
80,백엔드
81,스토리지
82,b2c
83,검증
84,엔지니어
85,퍼블리싱
86,pytorch
87,프로그래밍
88,아키텍트
89,시제품조립
90,web3js
91,react-native
92,googlecloudplatform
93,건축산업기사자격
94,인포스케일
95,sql
96,테스트
97,기술분석
98,memcached
99,laravel
100,채널
101,it컨설팅
102,rest
103,노트북수리
104,apcctv
105,bigquery
106,chromedevtool
107,ui/ux
108,unix
109,스타일가이드
110,sas
111,winform
112,siemensplc
113,svelte
114,substance
115,하네스
116,한글
117,기계설계
118,nexacro
119,bsw
120,표준화경험자
121,레거시springjsp
122,fw
123,networkcabletest
124,sapabap
125,avr
126,디자인
127,고도몰
128,awscodecommit
129,qa
130,pythonpandas
131,백엔드/서버개발
132,3dprinter
133,cg
134,보안장비관리
135,배움을두려워하지않음
136,profinet등통신프로그램
137,wbs
138,recoil
139,windowserver
140,it개발데이터
141,wordpress
142,강화학습
