,industry,company_name,company_size,company_sales,company_url,company_img_url,company_addr
18,미디어.광고업>연예.엔터테인먼트,케이비젼,중소기업,23억8천만,http://www.k-vision.com,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2013/3/2t9dr00bXp_pGxxbtaj2g3z2qp0hrVbRc_kqnqpnrp.gif?v=202405021556&hash=r&serviceCode=CL,"서울영등포구영등포로150(당산동1가,생각공장당산)A동1402호~3호"
19,미디어.광고업>연예.엔터테인먼트,㈜씨제스스튜디오(C J,중소기업,723억3천만원(2023.12.31),http://www.c-jes.com,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2020/11/25/2818s00cPo_eWivlh9r1dj4520o0isMeSd_mb5h5g2so.gif?v=202405021556&hash=r&serviceCode=CL,경기도고양시일산서구킨텍스로217-59(대화동)킨텍스제2전시장오피스동14F
20,미디어.광고업>연예.엔터테인먼트,레디엔터테인먼트,대기업,명시되어있지않음,http://www.readyent.com,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2024/4/01/JK_CO_3ubCOJ324040115010946.png?v=202405021556,"서울강남구언주로130길13(논현동,다은빌딩)레디엔터테인먼트"
21,미디어.광고업>연예.엔터테인먼트,에이오엠지,대기업,243억6천만원(2022.12.31),https://www.aomgofficial.com/about,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2019/5/2732s008R-_4X2u3963224-0esY8U7_2-2s-.jpg?v=202405021556&hash=r&serviceCode=CL,서울강남구도산대로49길16-4(신사동)2.3.4층
22,미디어.광고업>연예.엔터테인먼트,유니버설뮤직,중소기업,명시되어있지않음,명시되어있지않음,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2018/10/16/2a3wb008Ro_cXszjzf3u2qo0ebYbUr_qt2bo.jpg?v=202405021556&hash=r&serviceCode=CL,서울특별시강남구논현로653(논현동)A&A빌딩4층
23,미디어.광고업>연예.엔터테인먼트,엠엠엔터테인먼트,중소기업,명시되어있지않음,명시되어있지않음,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2013/2/2435s008Rh_fX3u9ze3425h0esYbU3_9g2sh.JPG?v=202405021556&hash=r&serviceCode=CL,서울강남구신사동543-11온암빌딩302호
24,미디어.광고업>연예.엔터테인먼트,에스팀,중소기업,186억9천만원(2023.12.31),https://esteemgroup.com/,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2022/4/15/JK_CO_3LXtvuO22041511194458.png?v=202405021557,"서울종로구인사동9길27(견지동,웅지빌딩)-"
25,미디어.광고업>연예.엔터테인먼트,위에화엔터테인먼트코리아,중소기업,159억6천만원(2023.12.31),http://www.yhfamily.co.kr,명시되어있지않음,서울강남구역삼동
26,미디어.광고업>연예.엔터테인먼트,키아나엔터테인먼트,중소기업,14억9백만원(2020.12.31),http://www.kianaent.com,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2016/6/2155y009Da_dG2f6n2n3929a0fyFwOw_4i4jya.jpg?v=202405021557&hash=r&serviceCode=CL,"서울강남구논현로554(역삼동,삼성빌딩)2,3층전관"
27,미디어.광고업>연예.엔터테인먼트,숲엔터테인먼트,대기업,328억1천만원(2022.12.31),http://msoopent.com,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2021/8/03/2w18u007Pn_gW5o2w3e22n0duMgSt_2cun.jpg?v=202405021557&hash=r&serviceCode=CL,"서울강남구학동로42길65-1(논현동,더케아)매니지먼트숲"
28,미디어.광고업>연예.엔터테인먼트,알비더블유,중소기업,342억7천만원(2022.12.31),http://www.rbbridge.com,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2015/4/2q5aq009De_qGjlch2i3p28e0fqFeOa_bh8lqe.JPG?v=202405021557&hash=r&serviceCode=CL,서울동대문구장안동365-4서희스타힐스지하1층
29,미디어.광고업>연예.엔터테인먼트,후크엔터테인먼트,중소기업,57억6천만원(2023.12.31),http://twitter.com/hookent3,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2016/7/2m1iz007Pg_vWja2w3d2kg0dzMgSm_hwzg.jpg?v=202405021557&hash=r&serviceCode=CL,서울강남구청담동100-6
30,미디어.광고업>연예.엔터테인먼트,크롬엔터테인먼트,중소기업,"1억5,765만원(2019.12.31)",http://chrome-ent.co.kr/,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2012/10/2a5ju009Dv_xGcodl2z3a2vv0fuFqOt_cmsguv.jpg?v=202405021557&hash=r&serviceCode=CL,서울강남구논현동222-2
31,미디어.광고업>연예.엔터테인먼트,팬엔터테인먼트,중소기업,500억,http://www.thepan.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2013/6/2d37e008Rq_dXkl1dc3s23q0eeYiUi_7w2eq.jpg?v=202405021557&hash=r&serviceCode=CL,"서울마포구월드컵북로58길10(상암동,팬엔터테인먼트사옥)더팬빌딩12층"
32,미디어.광고업>연예.엔터테인먼트,엠비케이엔터테인먼트,중소기업,64억8천만원(2016.12.31),http://www.mbk-ent.com,명시되어있지않음,"서울강남구도산대로16길16,2층"
33,미디어.광고업>연예.엔터테인먼트,(주)비엔엑스,중견기업,"3,077억2천만원(2022.12.31)",https://www.weverse.io/,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2021/2/23/2436s008R-_2X9u9923525-0esY8U3_4-2s-.jpg?v=202405021557&hash=r&serviceCode=CL,"서울강남구테헤란로108길42(대치동,엠디엠타워)"
34,미디어.광고업>연예.엔터테인먼트,라인엔터테인먼트,중소기업,76억4천만원(2020.12.31),명시되어있지않음,명시되어있지않음,"서울강서구양천로583(염창동,우림블루나인비즈니스센터)A-701"
35,미디어.광고업>연예.엔터테인먼트,㈜키이스트,대기업,520억2천만원(2023.12.31),http://www.keyeast.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2018/4/2v73f00aRa_aKxy6u9px3322a0gfYkIn_vj6j2fa.jpg?v=202405021557&hash=r&serviceCode=CL,서울강남구학동로11길30(논현동)3층
36,미디어.광고업>연예.엔터테인먼트,더블유에스엔터테인먼트,중소기업,"4억7,664만원(2021.12.31)",http://wsenter.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2012/3/2i1jw007Pn_jWlt2d3k2kn0dwMmSh_hcwn.gif?v=202405021557&hash=r&serviceCode=CL,서울강남구선릉로91길8(역삼동)4층
37,미디어.광고업>연예.엔터테인먼트,"㈜코아시아씨엠(CoAsia CM Co., LTD.)",중소기업,455억3천만원(2022.12.31),http://www.coasiacm.com,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2023/3/29/JK_CO_hrZY5Va23032917155458.JPG?v=202405021557,"경기화성시동탄첨단산업1로27(영천동,금강펜테리움IX타워)B동3550~3536호"
38,미디어.광고업>연예.엔터테인먼트,드림캐쳐컴퍼니,중소기업,명시되어있지않음,http://www.happyfaceent.com/,명시되어있지않음,서울강남구삼성2동37-5번지동진빌딩
39,미디어.광고업>연예.엔터테인먼트,젤리피쉬엔터테인먼트,중소기업,128억8천만,http://www.jelly-fish.co.kr,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2014/8/2c7jd00aRa_sKarvlluj3v2oa0gdYsIk_jjal2da.jpg?v=202405021557&hash=r&serviceCode=CL,"서울강남구학동로25길33(논현동,정일아원)젤리피쉬엔터테인먼트(주)"
40,미디어.광고업>연예.엔터테인먼트,이엠케이엔터테인먼트,중소기업,29억7천만원(2022.12.31),http://www.emkent.com,https//imgs.jobkorea.co.kr/img1/_whitebg/200X80/Co_Logo/Logo/2021/2/03/2534d008Rq_sX8c5du3920q0edYiU9_3w2dq.png?v=202405021557&hash=r&serviceCode=CL,"서울강남구논현로176(도곡동,빌딩숨)7층(EMK엔터테인먼트)"
