transaction_date,closing_price,trading_volume,change
2024-05-07,10520,40820,-0.57
2024-05-03,10580,39120,0.47
2024-05-02,10530,36150,1.06
2024-04-30,10420,40320,-0.1
2024-04-29,10430,46620,1.56
2024-04-26,10270,27620,-0.96
2024-04-25,10370,19360,0.0
2024-04-24,10370,33870,2.17
2024-04-23,10150,21400,0.5
2024-04-22,10100,34210,0.9
2024-04-19,10010,64239,-1.48
2024-04-18,10160,20200,1.3
2024-04-17,10030,42210,-0.2
2024-04-16,10050,53630,-1.76
2024-04-15,10230,88050,-1.06
2024-04-12,10340,47020,-0.86
2024-04-11,10430,39230,-0.95
2024-04-09,10530,51890,-0.94
2024-04-08,10630,102200,-3.97
2024-04-05,11070,58130,-1.69
2024-04-04,11260,55100,-0.53
2024-04-03,11320,95130,-1.48
2024-04-02,11490,85380,-3.85
2024-04-01,11950,246380,7.46
2024-03-29,11120,59720,-1.33
2024-03-28,11270,63100,-0.18
2024-03-27,11290,64849,0.89
2024-03-26,11190,57330,0.18
2024-03-25,11170,64080,-0.27
2024-03-22,11200,60270,-0.09
2024-03-21,11210,50750,0.09
2024-03-20,11200,61930,-2.27
2024-03-19,11460,39370,-0.09
2024-03-18,11470,54420,1.87
2024-03-15,11260,69460,-2.6
2024-03-14,11560,48410,-0.77
2024-03-13,11650,145310,-3.24
2024-03-12,12040,121830,4.88
2024-03-11,11480,56780,-0.35
2024-03-10,11520,0,0.0
2024-03-08,11520,82960,-1.45
2024-03-07,11690,79030,1.21
2024-03-06,11550,89860,2.03
2024-03-05,11320,75810,-1.05
2024-03-04,11440,60480,-0.26
2024-02-29,11470,70940,-2.71
2024-02-28,11790,47860,0.43
2024-02-27,11740,70440,-1.26
2024-02-26,11890,87970,-2.86
2024-02-23,12240,86680,-0.16
2024-02-22,12260,103100,0.66
2024-02-21,12180,136470,1.08
2024-02-20,12050,102870,-0.9
2024-02-19,12160,110140,-1.06
2024-02-18,12290,0,0.0
2024-02-16,12290,160620,-1.13
2024-02-15,12430,231700,-2.13
2024-02-14,12700,1890000,10.05
2024-02-13,11540,138540,1.85
2024-02-08,11330,102470,2.81
2024-02-07,11020,64340,-0.72
2024-02-06,11100,96270,5.11
2024-02-05,10560,30490,0.09
2024-02-02,10550,43770,1.54
2024-02-01,10390,39430,-1.33
2024-01-31,10530,51240,-1.13
2024-01-30,10650,188420,5.45
2024-01-29,10100,54190,-0.98
2024-01-26,10200,34120,1.49
2024-01-25,10050,104870,-1.47
2024-01-24,10200,51330,-0.1
2024-01-23,10210,76720,-1.73
2024-01-22,10390,95140,-3.71
2024-01-19,10790,40460,0.09
2024-01-18,10780,47980,2.18
2024-01-17,10550,106550,-4.7
2024-01-16,11070,50110,-1.34
2024-01-15,11220,49830,-1.15
2024-01-12,11350,69070,-1.39
2024-01-11,11510,52710,0.35
2024-01-10,11470,55180,-2.38
2024-01-09,11750,57100,-1.09
2024-01-08,11880,103700,1.37
2024-01-05,11720,47720,-0.68
2024-01-04,11800,92660,3.15
2024-01-03,11440,54200,-1.63
2024-01-02,11630,55850,0.78
