transaction_date,closing_price,trading_volume,change
2024-05-08,472,132140,-0.84
2024-05-07,476,155810,-1.04
2024-05-03,481,306540,3.22
2024-05-02,466,49030,-0.43
2024-04-30,468,173550,0.65
2024-04-29,465,112640,1.97
2024-04-26,456,101900,-0.22
2024-04-25,457,72220,0.66
2024-04-24,454,131009,0.89
2024-04-23,450,177680,-0.22
2024-04-22,451,239840,0.89
2024-04-19,447,229570,-1.97
2024-04-18,456,228960,0.22
2024-04-17,455,120380,-1.3
2024-04-16,461,217090,-3.76
2024-04-15,479,154600,-1.84
2024-04-12,488,88210,0.21
2024-04-11,487,141660,-1.42
2024-04-09,494,108520,0.2
2024-04-08,493,157200,0.2
2024-04-05,492,152460,0.0
2024-04-04,492,319780,-1.2
2024-04-03,498,692490,-2.16
2024-04-02,509,273730,-1.93
2024-04-01,519,435200,0.97
2024-03-29,514,300360,-2.1
2024-03-28,525,440590,-2.96
2024-03-27,541,327450,-1.1
2024-03-26,547,431150,3.21
2024-03-25,530,301590,1.53
2024-03-22,522,291160,0.19
2024-03-21,521,507760,3.99
2024-03-20,501,269050,0.6
2024-03-19,498,865880,1.63
2024-03-18,490,555540,1.45
2024-03-17,483,0,0.0
2024-03-15,483,196610,-1.63
2024-03-14,491,155330,-0.61
2024-03-13,494,87600,0.2
2024-03-12,493,202380,-1.4
2024-03-11,500,250910,2.88
2024-03-08,486,212480,0.21
2024-03-07,485,1210,-1.22
2024-03-06,491,185910,-1.21
2024-03-05,497,300,-1.58
2024-03-04,505,20,-1.37
2024-03-03,512,0,0.0
2024-02-29,512,1410000,-6.57
2024-02-28,548,200,6.61
2024-02-27,514,483780,3.84
2024-02-26,495,810,-1.98
2024-02-25,505,0,0.0
2024-02-23,505,536960,-2.13
2024-02-22,516,178380,-0.19
2024-02-21,517,220540,-1.15
2024-02-20,523,69400,-0.57
2024-02-19,526,138410,0.38
2024-02-16,524,115910,0.0
2024-02-15,524,128449,0.58
2024-02-14,521,118170,-0.95
2024-02-13,526,78200,1.54
2024-02-08,518,81240,0.58
2024-02-07,515,112840,-0.96
2024-02-06,520,134810,-0.76
2024-02-05,524,144220,-0.95
2024-02-04,529,0,0.0
2024-02-02,529,84320,1.15
2024-02-01,523,168700,0.19
2024-01-31,522,153970,-0.95
2024-01-30,527,80100,-0.57
2024-01-29,530,137200,0.0
2024-01-26,530,116060,-0.75
2024-01-25,534,227970,-1.29
2024-01-24,541,606460,-0.92
2024-01-23,546,214420,0.74
2024-01-22,542,152670,0.0
2024-01-19,542,87810,1.31
2024-01-18,535,1040000,0.19
2024-01-17,534,284660,-3.61
2024-01-16,554,226960,-0.36
2024-01-15,556,242080,0.18
2024-01-12,555,172880,-1.77
2024-01-11,565,0,-1.05
2024-01-10,571,110960,0.0
2024-01-09,571,153750,-0.17
2024-01-08,572,237180,-0.69
2024-01-05,576,278440,0.0
2024-01-04,576,506720,0.7
2024-01-03,572,518289,2.33
2024-01-02,559,365220,0.54
