transaction_date,closing_price,trading_volume,change
2024-04-30,38400,97410,0.52
2024-04-29,38200,68330,2.0
2024-04-26,37450,61420,1.49
2024-04-25,36900,36570,0.41
2024-04-24,36750,59460,2.08
2024-04-23,36000,58850,-0.41
2024-04-22,36150,50480,0.98
2024-04-19,35800,142160,-4.28
2024-04-18,37400,79770,-0.13
2024-04-17,37450,49900,1.35
2024-04-16,36950,108490,-4.77
2024-04-15,38800,61280,-0.64
2024-04-12,39050,117490,0.39
2024-04-11,38900,117250,0.91
2024-04-09,38550,70310,1.85
2024-04-08,37850,72400,-2.45
2024-04-05,38800,100760,0.78
2024-04-04,38500,85130,3.22
2024-04-03,37300,109360,-2.86
2024-04-02,38400,75270,-1.92
2024-04-01,39150,140640,4.68
2024-03-29,37400,98080,-1.58
2024-03-28,38000,115390,-0.91
2024-03-27,38350,88350,1.05
2024-03-26,37950,79380,-0.13
2024-03-25,38000,93280,-0.39
2024-03-22,38150,281680,-5.45
2024-03-21,40350,69470,-0.12
2024-03-20,40400,61370,-1.22
2024-03-19,40900,120880,1.61
2024-03-18,40250,148650,1.9
2024-03-17,39500,0,-3.42
2024-03-15,40900,21790,1.24
2024-03-14,40400,0,0.75
2024-03-13,40100,99760,0.25
2024-03-12,40000,68530,0.13
2024-03-11,39950,62990,1.91
2024-03-10,39200,0,0.0
2024-03-08,39200,91370,-2.24
2024-03-07,40100,111780,1.26
2024-03-06,39600,177500,1.15
2024-03-05,39150,30,-2.13
2024-03-04,40000,10,2.83
2024-02-29,38900,258560,2.91
2024-02-28,37800,88510,-1.43
2024-02-27,38350,73040,-1.29
2024-02-26,38850,104030,-1.65
2024-02-23,39500,77620,-0.13
2024-02-22,39550,320,-1.25
2024-02-21,40050,0,6.37
2024-02-20,37650,70100,1.07
2024-02-19,37250,62290,-1.19
2024-02-18,37700,0,0.0
2024-02-16,37700,122990,-0.79
2024-02-15,38000,10,6.15
2024-02-14,35800,157210,1.99
2024-02-13,35100,10,-0.43
2024-02-08,35250,107990,-0.28
2024-02-07,35350,166660,-2.08
2024-02-06,36100,141320,-0.14
2024-02-05,36150,85660,-1.5
2024-02-02,36700,218050,1.66
2024-02-01,36100,300,-6.48
2024-01-31,38600,0,-1.28
2024-01-30,39100,68020,-0.51
2024-01-29,39300,10,-5.42
2024-01-28,41550,0,0.0
2024-01-26,41550,107110,4.01
2024-01-25,39950,10,-1.36
2024-01-24,40500,98020,-1.7
2024-01-23,41200,10,-3.85
2024-01-22,42850,61060,2.15
2024-01-19,41950,72700,0.12
2024-01-18,41900,51840,1.09
2024-01-17,41450,10,-1.78
2024-01-16,42200,31160,-0.71
2024-01-15,42500,53030,-0.35
2024-01-14,42650,0,0.0
2024-01-12,42650,71110,-2.29
2024-01-11,43650,10,1.04
2024-01-10,43200,49700,-1.59
2024-01-09,43900,77460,-0.23
2024-01-08,44000,70690,1.5
2024-01-05,43350,76740,-0.12
2024-01-04,43400,10,-0.8
2024-01-03,43750,108260,-2.78
2024-01-02,45000,99910,1.12
