transaction_date,closing_price,trading_volume,change
2024-05-08,2570,79750,0.0
2024-05-07,2570,125310,1.98
2024-05-03,2520,89330,-1.18
2024-05-02,2550,112210,0.2
2024-04-30,2545,161160,1.39
2024-04-29,2510,113160,0.6
2024-04-26,2495,105970,1.42
2024-04-25,2460,59290,-1.2
2024-04-24,2490,110570,2.05
2024-04-23,2440,90530,-0.61
2024-04-22,2455,47280,0.82
2024-04-19,2435,165160,-2.21
2024-04-18,2490,86910,2.26
2024-04-17,2435,100060,0.21
2024-04-16,2430,213290,-2.41
2024-04-15,2490,329800,-3.86
2024-04-12,2590,873310,5.07
2024-04-11,2465,360510,-0.2
2024-04-09,2470,173020,-1.4
2024-04-08,2505,183460,-2.34
2024-04-05,2565,217850,-2.47
2024-04-04,2630,460460,0.77
2024-04-03,2610,440390,0.19
2024-04-02,2605,664780,-2.43
2024-04-01,2670,2600000,5.33
2024-03-29,2535,116030,0.4
2024-03-28,2525,147270,-0.39
2024-03-27,2535,168790,-0.39
2024-03-26,2545,176230,0.39
2024-03-25,2535,198640,-0.2
2024-03-22,2540,143380,0.2
2024-03-21,2535,162880,1.2
2024-03-20,2505,199020,0.0
2024-03-19,2505,190000,0.8
2024-03-18,2485,104300,-0.8
2024-03-15,2505,8550,0.8
2024-03-14,2485,127560,0.2
2024-03-13,2480,178290,1.02
2024-03-12,2455,136350,0.82
2024-03-11,2435,144760,0.41
2024-03-08,2425,147960,-0.61
2024-03-07,2440,170,-1.01
2024-03-06,2465,256730,-1.79
2024-03-05,2510,278280,-1.76
2024-03-04,2555,222320,2.61
2024-02-29,2490,404070,-2.35
2024-02-28,2550,119560,-0.39
2024-02-27,2560,206120,-1.73
2024-02-26,2605,124850,-0.38
2024-02-23,2615,162440,0.0
2024-02-22,2615,121330,-0.38
2024-02-21,2625,139590,-1.5
2024-02-20,2665,189230,0.57
2024-02-19,2650,154040,0.95
2024-02-16,2625,127500,0.0
2024-02-15,2625,121610,0.96
2024-02-14,2600,145040,0.0
2024-02-13,2600,90780,1.76
2024-02-08,2555,97760,0.2
2024-02-07,2550,141700,-0.78
2024-02-06,2570,142900,-0.96
2024-02-05,2595,194320,-1.14
2024-02-04,2625,0,0.0
2024-02-02,2625,192860,-0.19
2024-02-01,2630,189120,-1.31
2024-01-31,2665,1510,-1.66
2024-01-30,2710,985460,1.88
2024-01-29,2660,308370,-2.39
2024-01-26,2725,191890,1.3
2024-01-25,2690,240300,-2.36
2024-01-24,2755,222570,-0.18
2024-01-23,2760,236750,-0.18
2024-01-22,2765,490780,2.22
2024-01-19,2705,320760,0.93
2024-01-18,2680,350920,3.47
2024-01-17,2590,307700,-3.0
2024-01-16,2670,302390,-0.74
2024-01-15,2690,237020,-1.28
2024-01-12,2725,239710,-0.18
2024-01-11,2730,325640,-0.73
2024-01-10,2750,1100,0.55
2024-01-09,2735,369660,-0.91
2024-01-08,2760,665820,3.37
2024-01-05,2670,282970,2.3
2024-01-04,2610,109910,-1.14
2024-01-03,2640,97530,-0.38
2024-01-02,2650,190370,0.38
