transaction_date,closing_price,trading_volume,change
2024-05-08,11150,1730,-0.09
2024-05-07,11160,320,-0.09
2024-05-03,11170,10,2.57
2024-05-02,10890,200,0.83
2024-04-30,10800,100,-1.28
2024-04-29,10940,3970,0.0
2024-04-26,10940,2960,-0.36
2024-04-25,10980,260,1.57
2024-04-24,10810,2120,-1.19
2024-04-23,10940,540,0.0
2024-04-22,10940,1690,-1.71
2024-04-19,11130,0,3.06
2024-04-18,10800,1050,-2.44
2024-04-17,11070,300,-0.45
2024-04-16,11120,980,-0.54
2024-04-15,11180,0,0.45
2024-04-12,11130,700,-0.18
2024-04-11,11150,650,2.39
2024-04-09,10890,5040,-2.51
2024-04-08,11170,5380,1.55
2024-04-05,11000,10,-0.36
2024-04-04,11040,1000,-0.27
2024-04-03,11070,70,-0.27
2024-04-02,11100,100,-0.09
2024-04-01,11110,1010,-0.09
2024-03-29,11120,480,-0.45
2024-03-28,11170,1620,-0.98
2024-03-27,11280,770,1.17
2024-03-26,11150,970,0.45
2024-03-25,11100,780,-1.16
2024-03-22,11230,310,-0.8
2024-03-21,11320,1240,-0.7
2024-03-20,11400,2000,1.69
2024-03-19,11210,510,-4.51
2024-03-18,11740,580,3.07
2024-03-15,11390,890,-0.52
2024-03-14,11450,750,-0.43
2024-03-13,11500,920,0.0
2024-03-12,11500,190,-4.09
2024-03-11,11990,150,0.25
2024-03-08,11960,10,1.7
2024-03-07,11760,130,-0.08
2024-03-06,11770,320,1.55
2024-03-05,11590,360,-0.94
2024-03-04,11700,1290,-1.6
2024-02-29,11890,510,0.0
2024-02-28,11890,120,-0.08
2024-02-27,11900,100,-1.49
2024-02-26,12080,990,-5.18
2024-02-23,12740,2250,11.66
2024-02-22,11410,200,-0.7
2024-02-21,11490,680,0.88
2024-02-20,11390,110,4.5
2024-02-19,10900,410,0.0
2024-02-16,10900,560,-0.73
2024-02-15,10980,790,3.88
2024-02-14,10570,540,-0.28
2024-02-13,10600,1160,0.09
2024-02-08,10590,520,0.09
2024-02-07,10580,350,-0.09
2024-02-06,10590,350,-0.09
2024-02-05,10600,220,-0.38
2024-02-02,10640,290,0.95
2024-02-01,10540,240,2.13
2024-01-31,10320,710,-0.86
2024-01-30,10410,290,0.0
2024-01-29,10410,320,-0.1
2024-01-26,10420,450,0.87
2024-01-25,10330,810,0.29
2024-01-24,10300,1070,-2.28
2024-01-23,10540,1730,-1.4
2024-01-22,10690,420,-0.09
2024-01-19,10700,1070,1.04
2024-01-18,10590,300,2.92
2024-01-17,10290,1630,0.0
2024-01-16,10290,1740,1.88
2024-01-15,10100,1410,-2.79
2024-01-12,10390,270,-1.05
2024-01-11,10500,1630,-0.85
2024-01-10,10590,1080,-1.3
2024-01-09,10730,290,0.28
2024-01-08,10700,2820,6.05
2024-01-05,10090,590,-2.04
2024-01-04,10300,50,0.19
2024-01-03,10280,1180,-0.19
2024-01-02,10300,880,-1.34
