transaction_date,closing_price,trading_volume,change
2024-05-08,17150,122330,-5.46
2024-05-07,18140,38520,2.2
2024-05-03,17750,20870,-1.11
2024-05-02,17950,37360,0.28
2024-04-30,17900,29040,-1.54
2024-04-29,18180,40950,0.72
2024-04-26,18050,50880,2.56
2024-04-25,17600,31540,-3.67
2024-04-24,18270,33260,3.45
2024-04-23,17660,32360,-0.28
2024-04-22,17710,30910,-1.34
2024-04-19,17950,48990,-2.29
2024-04-18,18370,37530,3.79
2024-04-17,17700,66550,-2.21
2024-04-16,18100,106510,-4.64
2024-04-15,18980,56960,-2.82
2024-04-12,19530,83840,3.01
2024-04-11,18960,55360,-2.62
2024-04-09,19470,109610,0.88
2024-04-08,19300,246050,-8.96
2024-04-05,21200,465760,0.24
2024-04-04,21150,256680,0.71
2024-04-03,21000,1850000,3.45
2024-04-02,20300,156390,-7.09
2024-04-01,21850,385590,4.05
2024-03-29,21000,153840,2.44
2024-03-28,20500,109790,0.99
2024-03-27,20300,139420,-2.87
2024-03-26,20900,150500,0.0
2024-03-25,20900,285910,0.97
2024-03-22,20700,162210,-2.36
2024-03-21,21200,341060,7.61
2024-03-20,19700,190120,-4.37
2024-03-19,20600,248160,-0.48
2024-03-18,20700,476220,4.7
2024-03-17,19770,52880,1.7
2024-03-15,19440,456130,-3.76
2024-03-14,20200,1800,-5.83
2024-03-13,21450,2200000,30.0
2024-03-12,16500,60060,-2.14
2024-03-11,16860,56130,2.55
2024-03-10,16440,0,0.0
2024-03-08,16440,91250,-0.9
2024-03-07,16590,143890,-3.38
2024-03-06,17170,71590,-2.83
2024-03-05,17670,70280,-2.43
2024-03-04,18110,72850,2.43
2024-02-29,17680,35830,-1.94
2024-02-28,18030,28350,1.18
2024-02-27,17820,35310,-2.3
2024-02-26,18240,31920,-0.49
2024-02-23,18330,84630,0.11
2024-02-22,18310,127320,4.39
2024-02-21,17540,52790,0.29
2024-02-20,17490,35320,2.28
2024-02-19,17100,27260,0.94
2024-02-16,16940,29410,-0.94
2024-02-15,17100,72000,-2.01
2024-02-14,17450,33500,0.93
2024-02-13,17290,41030,2.55
2024-02-08,16860,47310,-0.18
2024-02-07,16890,65170,-1.75
2024-02-06,17190,59720,0.12
2024-02-05,17170,75310,-1.49
2024-02-02,17430,46820,1.04
2024-02-01,17250,0,-0.12
2024-01-31,17270,39840,0.12
2024-01-30,17250,74030,-3.9
2024-01-29,17950,62700,-3.34
2024-01-26,18570,45520,-0.64
2024-01-25,18690,58580,-2.4
2024-01-24,19150,63920,1.22
2024-01-23,18920,20,-1.15
2024-01-22,19140,257779,4.59
2024-01-19,18300,82200,1.61
2024-01-18,18010,72720,2.1
2024-01-17,17640,20,-2.0
2024-01-16,18000,47830,1.69
2024-01-15,17700,62060,-1.23
2024-01-12,17920,55550,-0.72
2024-01-11,18050,63390,-0.22
2024-01-10,18090,110610,0.28
2024-01-09,18040,102740,1.06
2024-01-08,17850,188810,4.45
2024-01-05,17090,45380,-0.64
2024-01-04,17200,91240,2.08
2024-01-03,16850,43750,-0.3
2024-01-02,16900,46500,1.02
