transaction_date,closing_price,trading_volume,change
2024-05-08,16170,3350,0.12
2024-05-07,16150,1950,1.06
2024-05-03,15980,2960,1.52
2024-05-02,15740,8270,-2.24
2024-04-30,16100,6720,1.58
2024-04-29,15850,5130,1.28
2024-04-26,15650,8370,-1.2
2024-04-25,15840,5120,-1.55
2024-04-24,16090,5320,1.19
2024-04-23,15900,5850,-0.19
2024-04-22,15930,7820,-0.25
2024-04-19,15970,11090,-0.87
2024-04-18,16110,5930,0.75
2024-04-17,15990,10070,-1.24
2024-04-16,16190,10810,-1.34
2024-04-15,16410,30000,-2.03
2024-04-12,16750,6530,-0.3
2024-04-11,16800,9810,0.6
2024-04-09,16700,5820,-1.76
2024-04-08,17000,25830,0.89
2024-04-05,16850,16530,-0.06
2024-04-04,16860,14940,-3.55
2024-04-03,17480,18700,1.39
2024-04-02,17240,12460,-1.65
2024-04-01,17530,5790,-0.11
2024-03-29,17550,16930,-0.28
2024-03-28,17600,11160,0.34
2024-03-27,17540,20350,-0.57
2024-03-26,17640,10670,0.23
2024-03-25,17600,14850,-1.01
2024-03-22,17780,21410,0.23
2024-03-21,17740,25160,-1.06
2024-03-20,17930,31450,-0.33
2024-03-19,17990,11420,-0.33
2024-03-18,18050,13240,-0.17
2024-03-15,18080,10810,-0.11
2024-03-14,18100,10550,-0.98
2024-03-13,18280,12130,-0.98
2024-03-12,18460,18050,1.99
2024-03-11,18100,13700,-0.17
2024-03-08,18130,13250,0.5
2024-03-07,18040,16300,-0.33
2024-03-06,18100,29120,0.17
2024-03-05,18070,20780,-1.26
2024-03-04,18300,19680,0.0
2024-02-29,18300,21430,-2.09
2024-02-28,18690,20850,-1.42
2024-02-27,18960,44870,-3.66
2024-02-26,19680,55560,-1.2
2024-02-23,19920,272980,1.22
2024-02-22,19680,65730,-1.11
2024-02-21,19900,62160,-0.5
2024-02-20,20000,132540,-4.53
2024-02-19,20950,716380,1.95
2024-02-18,20550,0,0.0
2024-02-16,20550,426730,10.72
2024-02-15,18560,14670,0.05
2024-02-14,18550,32060,2.49
2024-02-13,18100,15680,0.89
2024-02-08,17940,9230,0.28
2024-02-07,17890,22960,-2.08
2024-02-06,18270,28880,3.16
2024-02-05,17710,8260,-1.17
2024-02-02,17920,36280,1.01
2024-02-01,17740,76940,-0.06
2024-01-31,17750,28590,-2.74
2024-01-30,18250,37890,1.67
2024-01-29,17950,13210,-0.83
2024-01-26,18100,8060,-0.28
2024-01-25,18150,36040,-2.63
2024-01-24,18640,34820,3.56
2024-01-23,18000,11790,-0.22
2024-01-22,18040,14610,0.11
2024-01-19,18020,4880,0.61
2024-01-18,17910,9340,-0.11
2024-01-17,17930,19030,-2.98
2024-01-16,18480,6820,-0.16
2024-01-15,18510,15330,-1.75
2024-01-12,18840,27170,-4.22
2024-01-11,19670,9810,2.08
2024-01-10,19270,7910,-0.52
2024-01-09,19370,10440,-0.1
2024-01-08,19390,38710,2.97
2024-01-05,18830,9460,0.48
2024-01-04,18740,12390,-0.79
2024-01-03,18890,9900,-1.56
2024-01-02,19190,16830,1.8
