transaction_date,closing_price,trading_volume,change
2024-05-08,5640,28220,0.18
2024-05-07,5630,26510,0.9
2024-05-03,5580,33690,0.54
2024-05-02,5550,42660,1.65
2024-04-30,5460,40090,-0.36
2024-04-29,5480,46980,1.86
2024-04-26,5380,79090,-1.28
2024-04-25,5450,99900,-3.2
2024-04-24,5630,54210,0.0
2024-04-23,5630,54240,-0.35
2024-04-22,5650,67800,-0.7
2024-04-19,5690,99590,-0.52
2024-04-18,5720,37640,0.35
2024-04-17,5700,70420,-0.35
2024-04-16,5720,79340,-2.22
2024-04-15,5850,140050,-4.41
2024-04-12,6120,49680,0.33
2024-04-11,6100,67990,-1.45
2024-04-09,6190,57520,0.65
2024-04-08,6150,63510,-0.65
2024-04-05,6190,98490,-1.12
2024-04-04,6260,122600,-0.16
2024-04-03,6270,88550,-1.72
2024-04-02,6380,155560,-3.48
2024-04-01,6610,244880,3.61
2024-03-29,6380,281310,0.31
2024-03-28,6360,585740,-4.36
2024-03-27,6650,479020,-5.0
2024-03-26,7000,726130,-6.04
2024-03-25,7450,1090000,-8.02
2024-03-22,8100,10460000,4.92
2024-03-21,7720,11970000,-2.28
2024-03-20,7900,5150000,29.93
2024-03-19,6080,29120,-1.3
2024-03-18,6160,26840,0.16
2024-03-15,6150,3510,0.33
2024-03-14,6130,37560,0.82
2024-03-13,6080,24000,-1.14
2024-03-12,6150,31690,-1.28
2024-03-11,6230,36990,1.14
2024-03-10,6160,0,0.0
2024-03-08,6160,32369,1.99
2024-03-07,6040,40050,-1.47
2024-03-06,6130,39490,0.0
2024-03-05,6130,0,-1.13
2024-03-04,6200,33740,-0.32
2024-03-03,6220,0,0.0
2024-02-29,6220,85220,-4.16
2024-02-28,6490,21150,0.93
2024-02-27,6430,75290,-1.53
2024-02-26,6530,38360,-1.8
2024-02-23,6650,42520,-0.3
2024-02-22,6670,38460,-1.33
2024-02-21,6760,42920,-0.15
2024-02-20,6770,36600,-1.02
2024-02-19,6840,34370,0.88
2024-02-16,6780,37900,-1.6
2024-02-15,6890,60280,1.77
2024-02-14,6770,25450,0.0
2024-02-13,6770,0,2.42
2024-02-08,6610,26150,0.15
2024-02-07,6600,29650,-0.15
2024-02-06,6610,23310,-0.15
2024-02-05,6620,35150,-1.05
2024-02-04,6690,0,0.0
2024-02-02,6690,42350,1.06
2024-02-01,6620,36850,-0.15
2024-01-31,6630,43250,-2.64
2024-01-30,6810,51650,-1.16
2024-01-29,6890,145460,3.14
2024-01-26,6680,40060,0.45
2024-01-25,6650,49660,-2.21
2024-01-24,6800,71630,-2.72
2024-01-23,6990,47000,0.72
2024-01-22,6940,100030,-0.57
2024-01-19,6980,38750,1.16
2024-01-18,6900,170,-0.86
2024-01-17,6960,89440,-2.93
2024-01-16,7170,76860,-2.05
2024-01-15,7320,59100,-1.21
2024-01-12,7410,81770,-2.76
2024-01-11,7620,56080,0.53
2024-01-10,7580,61680,-1.43
2024-01-09,7690,117640,1.72
2024-01-08,7560,76440,0.0
2024-01-05,7560,199650,1.2
2024-01-04,7470,102450,-1.71
2024-01-03,7600,20,-2.44
2024-01-02,7790,89890,0.52
