transaction_date,closing_price,trading_volume,change
2024-05-08,10150,102450,-1.07
2024-05-07,10260,145810,-1.16
2024-05-03,10380,95500,-0.1
2024-05-02,10390,173080,0.0
2024-04-30,10390,483850,7.89
2024-04-29,9630,41920,1.8
2024-04-26,9460,47210,-0.73
2024-04-25,9530,18320,-1.55
2024-04-24,9680,31270,1.04
2024-04-23,9580,53450,-0.1
2024-04-22,9590,53840,1.59
2024-04-19,9440,74160,-1.05
2024-04-18,9540,88450,0.95
2024-04-17,9450,73850,3.28
2024-04-16,9150,64500,-1.51
2024-04-15,9290,70210,-2.62
2024-04-12,9540,48360,0.0
2024-04-11,9540,64110,-0.83
2024-04-09,9620,51300,-1.23
2024-04-08,9740,60580,-1.52
2024-04-05,9890,74210,0.71
2024-04-04,9820,117560,-2.09
2024-04-03,10030,86790,-0.3
2024-04-02,10060,98040,-1.85
2024-04-01,10250,118710,4.06
2024-03-29,9850,78550,-1.99
2024-03-28,10050,146450,0.7
2024-03-27,9980,100440,2.36
2024-03-26,9750,121820,-2.3
2024-03-25,9980,107140,0.6
2024-03-22,9920,117330,3.77
2024-03-21,9560,58700,0.42
2024-03-20,9520,57390,-0.63
2024-03-19,9580,60620,0.31
2024-03-18,9550,62350,-0.42
2024-03-15,9590,52190,-1.13
2024-03-14,9700,50460,-1.32
2024-03-13,9830,67060,0.2
2024-03-12,9810,78310,1.34
2024-03-11,9680,133720,2.65
2024-03-08,9430,212420,-2.48
2024-03-07,9670,158960,-0.82
2024-03-06,9750,176600,-2.01
2024-03-05,9950,81380,-0.1
2024-03-04,9960,97570,-2.35
2024-03-03,10200,0,0.0
2024-02-29,10200,61000,0.49
2024-02-28,10150,59150,1.3
2024-02-27,10020,58400,-1.76
2024-02-26,10200,47680,0.29
2024-02-23,10170,110350,-0.39
2024-02-22,10210,79900,-0.2
2024-02-21,10230,63600,-0.58
2024-02-20,10290,73170,0.19
2024-02-19,10270,53010,-0.77
2024-02-16,10350,127560,-0.58
2024-02-15,10410,147890,-1.51
2024-02-14,10570,76740,1.83
2024-02-13,10380,205170,-2.26
2024-02-08,10620,62680,0.19
2024-02-07,10600,56680,-0.66
2024-02-06,10670,130910,1.72
2024-02-05,10490,88960,0.87
2024-02-04,10400,0,0.0
2024-02-02,10400,164860,0.0
2024-02-01,10400,278900,-1.98
2024-01-31,10610,107220,-2.21
2024-01-30,10850,161660,-0.18
2024-01-29,10870,110300,-1.18
2024-01-26,11000,71730,-2.05
2024-01-25,11230,84510,1.17
2024-01-24,11100,54060,0.0
2024-01-23,11100,71540,0.36
2024-01-22,11060,215410,-5.63
2024-01-19,11720,74250,-0.59
2024-01-18,11790,107580,2.7
2024-01-17,11480,125670,-2.96
2024-01-16,11830,283500,-2.47
2024-01-15,12130,96560,-0.57
2024-01-12,12200,179090,-2.87
2024-01-11,12560,144080,-2.64
2024-01-10,12900,503640,2.3
2024-01-09,12610,144890,3.28
2024-01-08,12210,155450,-0.33
2024-01-05,12250,176410,0.25
2024-01-04,12220,143190,-2.94
2024-01-03,12590,103970,0.96
2024-01-02,12470,265440,2.72
