transaction_date,closing_price,trading_volume,change
2024-04-30,2780,76490,0.0
2024-04-29,2780,311400,2.02
2024-04-26,2725,93550,-0.55
2024-04-25,2740,124840,0.74
2024-04-24,2720,72690,0.0
2024-04-23,2720,88740,0.55
2024-04-22,2705,124200,1.12
2024-04-19,2675,91900,0.19
2024-04-18,2670,113050,2.1
2024-04-17,2615,52480,-0.57
2024-04-16,2630,65519,-0.57
2024-04-15,2645,82950,0.19
2024-04-12,2640,100680,0.38
2024-04-11,2630,62040,-0.75
2024-04-09,2650,86220,0.76
2024-04-08,2630,71940,-0.94
2024-04-05,2655,102120,0.0
2024-04-04,2655,120780,-0.93
2024-04-03,2680,103980,-0.19
2024-04-02,2685,155530,-0.56
2024-04-01,2700,104000,0.37
2024-03-29,2690,117710,-0.74
2024-03-28,2710,89320,-0.18
2024-03-27,2715,121730,-0.73
2024-03-26,2735,147940,-0.36
2024-03-25,2745,177470,-1.08
2024-03-22,2775,120820,0.18
2024-03-21,2770,185530,2.97
2024-03-20,2690,100800,-0.55
2024-03-19,2705,143390,0.19
2024-03-18,2700,279780,-1.1
2024-03-15,2730,139760,0.0
2024-03-14,2730,138650,0.18
2024-03-13,2725,354060,2.64
2024-03-12,2655,172170,0.95
2024-03-11,2630,156920,-0.75
2024-03-08,2650,73590,0.19
2024-03-07,2645,71100,0.19
2024-03-06,2640,161010,-1.68
2024-03-05,2685,223530,-0.92
2024-03-04,2710,131080,0.93
2024-02-29,2685,152920,-0.74
2024-02-28,2705,76830,0.56
2024-02-27,2690,183540,0.0
2024-02-26,2690,221530,-1.47
2024-02-23,2730,159270,-0.36
2024-02-22,2740,220280,-2.66
2024-02-21,2815,168500,-0.35
2024-02-20,2825,0,-1.91
2024-02-19,2880,50,1.77
2024-02-16,2830,297530,2.17
2024-02-15,2770,196730,0.73
2024-02-14,2750,196240,-1.08
2024-02-13,2780,191160,0.72
2024-02-08,2760,299890,-0.18
2024-02-07,2765,390120,2.6
2024-02-06,2695,236580,-1.82
2024-02-05,2745,478730,1.29
2024-02-02,2710,472820,0.74
2024-02-01,2690,0,8.03
2024-01-31,2490,103130,-0.4
2024-01-30,2500,274350,0.0
2024-01-29,2500,100,2.88
2024-01-26,2430,239800,-0.41
2024-01-25,2440,164320,1.04
2024-01-24,2415,67660,-0.62
2024-01-23,2430,123540,1.25
2024-01-22,2400,100290,-0.83
2024-01-19,2420,51760,0.62
2024-01-18,2405,207450,0.42
2024-01-17,2395,198000,-1.03
2024-01-16,2420,122870,-1.43
2024-01-15,2455,131520,-1.01
2024-01-12,2480,123310,-1.2
2024-01-11,2510,198730,2.45
2024-01-10,2450,72850,-0.2
2024-01-09,2455,189210,0.82
2024-01-08,2435,159470,-1.22
2024-01-05,2465,121750,0.61
2024-01-04,2450,173930,-1.61
2024-01-03,2490,81960,-1.58
2024-01-02,2530,87480,-0.78
