transaction_date,closing_price,trading_volume,change
2024-05-08,7650,269930,-1.54
2024-05-07,7770,316580,-0.51
2024-05-03,7810,270460,-2.5
2024-05-02,8010,319600,2.3
2024-04-30,7830,365160,-1.88
2024-04-29,7980,901140,1.53
2024-04-26,7860,787410,-1.5
2024-04-25,7980,1530000,0.0
2024-04-24,7980,1150000,-1.36
2024-04-23,8090,1960000,3.06
2024-04-22,7850,16149999,9.94
2024-04-19,7140,220000,-0.42
2024-04-18,7170,102540,1.85
2024-04-17,7040,228610,2.33
2024-04-16,6880,88140,-0.15
2024-04-15,6890,99990,-0.43
2024-04-12,6920,137270,2.52
2024-04-11,6750,59190,-2.46
2024-04-09,6920,111890,3.44
2024-04-08,6690,111800,-3.18
2024-04-05,6910,183930,-1.57
2024-04-04,7020,228410,-5.14
2024-04-03,7400,252140,-0.4
2024-04-02,7430,339250,-7.36
2024-04-01,8020,611450,0.12
2024-03-29,8010,677140,4.71
2024-03-28,7650,663720,-0.91
2024-03-27,7720,1980000,7.97
2024-03-26,7150,466280,5.93
2024-03-25,6750,154670,1.5
2024-03-22,6650,144420,-1.48
2024-03-21,6750,222060,0.45
2024-03-20,6720,962830,-1.75
2024-03-19,6840,1070000,6.21
2024-03-18,6440,115750,-1.98
2024-03-15,6570,119000,2.18
2024-03-14,6430,107060,-1.98
2024-03-13,6560,137740,-1.2
2024-03-12,6640,124530,-1.48
2024-03-11,6740,500740,4.5
2024-03-10,6450,0,0.0
2024-03-08,6450,950480,8.59
2024-03-07,5940,85740,-2.46
2024-03-06,6090,39090,1.0
2024-03-05,6030,43160,-0.5
2024-03-04,6060,76060,-2.73
2024-02-29,6230,47370,0.32
2024-02-28,6210,90320,-0.16
2024-02-27,6220,79000,-2.05
2024-02-26,6350,39410,-1.24
2024-02-23,6430,88780,0.31
2024-02-22,6410,56860,0.16
2024-02-21,6400,46670,-1.23
2024-02-20,6480,63050,0.15
2024-02-19,6470,70260,0.62
2024-02-18,6430,0,0.0
2024-02-16,6430,258339,4.89
2024-02-15,6130,67900,1.49
2024-02-14,6040,43480,-0.33
2024-02-13,6060,95740,2.89
2024-02-08,5890,44320,0.17
2024-02-07,5880,48660,0.51
2024-02-06,5850,155150,-1.35
2024-02-05,5930,177600,-3.58
2024-02-02,6150,64470,0.82
2024-02-01,6100,124230,-1.93
2024-01-31,6220,191590,-3.72
2024-01-30,6460,87010,-1.07
2024-01-29,6530,92950,-1.06
2024-01-26,6600,44580,0.3
2024-01-25,6580,84070,0.0
2024-01-24,6580,66850,-1.79
2024-01-23,6700,41560,1.21
2024-01-22,6620,95660,-1.34
2024-01-19,6710,45800,1.98
2024-01-18,6580,56200,0.0
2024-01-17,6580,104320,-3.94
2024-01-16,6850,326230,1.33
2024-01-15,6760,119380,-0.73
2024-01-12,6810,114380,-4.76
2024-01-11,7150,80890,0.85
2024-01-10,7090,180940,-2.88
2024-01-09,7300,305890,6.26
2024-01-08,6870,84550,1.33
2024-01-05,6780,54770,0.74
2024-01-04,6730,79480,-2.18
2024-01-03,6880,99060,0.29
2024-01-02,6860,68610,1.48
